Time,GDP_real,Capacity,Output_Gap,Capacity_Utilization,C_value,C_plan_value,I_value,G_value,AD_value
44,1536713877079.1106,1551132333746.2644,-0.929543943702768,99.07045605629723,1179535124433.1047,1179472915575.4534,28689783870.323128,328551177633.3342,1536776085936.7622
45,1542318304744.3008,1561390488447.3467,-1.2214871196001302,98.77851288039986,1183936503194.7178,1183875597120.9504,28552971823.074238,329889735800.2759,1542379210818.068
46,1538788094230.0312,1571551186447.0232,-2.0847613809552734,97.91523861904473,1188342653654.2092,1188294498154.6677,19259848656.482254,331233747418.8812,1538836249729.5725
47,1539822658734.6504,1578135486868.1892,-2.4277274322986453,97.57227256770135,1192694621725.8618,1192627101867.543,14612322159.919725,332583234707.1875,1539890178592.969
48,1545173803421.9204,1581480470045.1836,-2.29573917041327,97.70426082958673,1196957610038.9412,1196898778773.1675,14336804675.002117,333938219973.75073,1545232634687.694
49,1552494808225.1821,1583606286356.091,-1.9645967813437426,98.03540321865626,1201254238167.701,1201192869494.183,16003213112.983864,335298725618.01495,1552556176898.6997
50,1559177943182.1199,1587857469635.163,-1.8061776325322711,98.19382236746773,1205590217438.5488,1205522246187.6353,16990922863.80241,336664774130.68225,1559245914433.0337
51,1564165976332.883,1593600226958.776,-1.8470285161834532,98.15297148381656,1209947256029.7764,1209874365675.9458,16255222562.852608,338036388094.0847,1564238866686.7136
52,1569802599966.1,1598527249324.9502,-1.79694461705175,98.20305538294825,1214295771571.51,1214229728120.6577,16159281662.884884,339413590182.5574,1569868643416.9524
53,1575274036561.804,1603168152977.0225,-1.7399370342668166,98.26006296573318,1218660828708.5872,1218607803469.459,15869829929.531471,340796403162.8136,1575327061800.9326
54,1581253291235.0288,1607072357275.9834,-1.6065901403915859,98.39340985960841,1223092977398.9297,1223012730668.546,16055710672.161945,342184849894.32104,1581333537965.4126
55,1586948116712.2207,1611468038682.173,-1.5215890964864747,98.47841090351352,1227492033583.5308,1227409596134.3262,15959567248.215061,343578953329.6797,1587030554161.4258
56,1596020234490.1497,1615510408988.217,-1.2064406635593232,98.79355933644068,1231881083613.9656,1231820460536.3335,19221037438.815136,344978736515.0011,1596080857567.782
57,1605510225110.9077,1623290325708.2678,-1.0953124229088447,98.90468757709117,1236375450714.73,1236311847858.2678,22814154662.35021,346384222590.2898,1605573827967.3704
58,1612871502658.6587,1633142237860.9294,-1.24121063875129,98.75878936124872,1240972077653.29,1240862286701.925,24213781166.90822,347795434789.82544,1612981293610.0237
59,1621470610892.1,1641461745396.9111,-1.217886104313513,98.78211389568648,1245461952435.4849,1245400958910.9602,26857255538.59265,349212396442.54706,1621531604416.6245
60,1627626185917.1404,1649647932090.4802,-1.334936124548301,98.6650638754517,1250109181303.1501,1250040483662.3716,26950571282.33049,350635130972.4385,1627694883557.919
61,1626271438936.7744,1658968570331.9888,-1.9709313352856999,98.0290686647143,1254763050507.9858,1254690937683.2217,19516839354.63709,352063661898.9159,1626343551761.539
62,1628423674141.0999,1664040244093.904,-2.1403671022510626,97.85963289774895,1259333484859.3525,1259262759708.1128,15662901595.770517,353498012837.2167,1628494399292.3398
63,1635653679733.0542,1667157626572.025,-1.889680156023907,98.11031984397609,1263897198704.9868,1263805854874.1748,16909617360.090023,354938207498.7892,1635745023563.8657
64,1644174183442.5464,1670938128437.7883,-1.6017316583866803,98.39826834161332,1268438744380.6792,1268361688380.2437,19428225370.617073,356384269691.6854,1644251239442.982
65,1652366627756.6912,1677917032151.2297,-1.5227453983097616,98.47725460169025,1273060260573.9656,1272981598663.3416,21548805772.39527,357836223320.9546,1652445289667.3154
66,1660610820541.8757,1685604734779.0676,-1.482786190706082,98.5172138092939,1277717780434.0388,1277644559197.4739,23672168955.364647,359294092389.03735,1660684041778.441
67,1667429574336.849,1693114778163.2722,-1.5170385468070253,98.48296145319297,1282474035483.2778,1282357745156.4907,24313928184.19431,360757900996.1639,1667545864663.6362
68,1678122766813.7537,1700565883306.624,-1.3197440165759051,98.6802559834241,1287127740161.8994,1287053599336.4575,28841494136.544865,362227673340.75134,1678196907639.1958
69,1688426145065.7974,1711269042587.4844,-1.334851326892932,98.66514867310707,1291936929537.516,1291867524448.4028,32855186897.58993,363703433719.80457,1688495550154.9106
70,1690378793230.685,1723672228359.5967,-1.931540961276419,98.06845903872357,1296818703368.0117,1296754396566.8542,28439190134.51391,365185206529.317,1690443100031.8425
71,1688976278851.5454,1732446062754.3848,-2.5091565525409507,97.49084344745904,1301701693373.5876,1301609780652.7256,20693481934.145042,366673016264.67456,1689068191572.4075
